brand,Date,stocktwits_count
Airbnb,2020-12-22,97
Airbnb,2020-12-23,125
Airbnb,2020-12-24,75
Airbnb,2020-12-25,18
Airbnb,2020-12-26,23
Airbnb,2020-12-27,13
Airbnb,2020-12-28,107
Airbnb,2020-12-29,88
Airbnb,2020-12-30,87
Airbnb,2020-12-31,58
Airbnb,2021-01-01,12
Airbnb,2021-01-02,13
Airbnb,2021-01-03,18
Airbnb,2021-01-04,155
Airbnb,2021-01-05,145
Airbnb,2021-01-06,109
Airbnb,2021-01-07,85
Airbnb,2021-01-08,64
Airbnb,2021-01-09,19
Airbnb,2021-01-10,23
Airbnb,2021-01-11,60
Airbnb,2021-01-12,155
Airbnb,2021-01-13,204
Airbnb,2021-01-14,224
Airbnb,2021-01-15,153
Airbnb,2021-01-16,23
Airbnb,2021-01-17,18
Airbnb,2021-01-18,20
Airbnb,2021-01-19,50
Airbnb,2021-01-20,89
Airbnb,2021-01-21,244
Airbnb,2021-01-22,120
Airbnb,2021-01-23,28
Airbnb,2021-01-24,18
Airbnb,2021-01-25,64
Airbnb,2021-01-26,76
Airbnb,2021-01-27,128
Airbnb,2021-01-28,87
Airbnb,2021-01-29,65
Airbnb,2021-01-30,12
Airbnb,2021-01-31,11
Airbnb,2021-02-01,78
Airbnb,2021-02-02,83
Airbnb,2021-02-03,64
Airbnb,2021-02-04,70
Airbnb,2021-02-05,46
Airbnb,2021-02-06,12
Airbnb,2021-02-07,9
Airbnb,2021-02-08,84
Airbnb,2021-02-09,82
Airbnb,2021-02-10,85
Airbnb,2021-02-11,80
Airbnb,2021-02-12,86
Airbnb,2021-02-13,11
Airbnb,2021-02-14,7
Airbnb,2021-02-15,12
Airbnb,2021-02-16,80
Airbnb,2021-02-17,36
Airbnb,2021-02-18,38
Airbnb,2021-02-19,32
Airbnb,2021-02-20,19
Airbnb,2021-02-21,27
Airbnb,2021-02-22,83
Airbnb,2021-02-23,72
Airbnb,2021-02-24,147
Airbnb,2021-02-25,267
Airbnb,2021-02-26,401
Airbnb,2021-02-27,58
Airbnb,2021-02-28,49
Airbnb,2021-03-01,193
Airbnb,2021-03-02,145
Airbnb,2021-03-03,137
Airbnb,2021-03-04,125
Airbnb,2021-03-05,107
Airbnb,2021-03-06,41
Airbnb,2021-03-07,23
Airbnb,2021-03-08,69
Airbnb,2021-03-09,88
Airbnb,2021-03-10,75
Airbnb,2021-03-11,126
Airbnb,2021-03-12,156
Airbnb,2021-03-13,42
Airbnb,2021-03-14,25
Airbnb,2021-03-15,94
Airbnb,2021-03-16,89
Airbnb,2021-03-17,47
Airbnb,2021-03-18,60
Airbnb,2021-03-19,67
Airbnb,2021-03-20,25
Airbnb,2021-03-21,23
Airbnb,2021-03-22,60
Airbnb,2021-03-23,48
Airbnb,2021-03-24,83
Airbnb,2021-03-25,80
Airbnb,2021-03-26,64
Airbnb,2021-03-27,13
Airbnb,2021-03-28,15
Airbnb,2021-03-29,58
Airbnb,2021-03-30,45
Airbnb,2021-03-31,53
Airbnb,2021-04-01,65
Airbnb,2021-04-02,19
Airbnb,2021-04-03,9
Airbnb,2021-04-04,7
Airbnb,2021-04-05,48
Airbnb,2021-04-06,66
Airbnb,2021-04-07,108
Airbnb,2021-04-08,54
Airbnb,2021-04-09,50
Airbnb,2021-04-10,5
Airbnb,2021-04-11,10
Airbnb,2021-04-12,47
Airbnb,2021-04-13,60
Apple,2021-02-25,490
Apple,2021-02-26,2964
Apple,2021-02-27,661
Apple,2021-02-28,459
Apple,2021-03-01,2161
Apple,2021-03-02,1918
Coca-Cola,2020-05-27,23
Coca-Cola,2020-05-28,39
Coca-Cola,2020-05-29,27
Coca-Cola,2020-05-30,10
Coca-Cola,2020-05-31,8
Coca-Cola,2020-06-01,15
Coca-Cola,2020-06-02,16
Coca-Cola,2020-06-03,22
Coca-Cola,2020-06-04,23
Coca-Cola,2020-06-05,34
Coca-Cola,2020-06-06,14
Coca-Cola,2020-06-07,13
Coca-Cola,2020-06-08,29
Coca-Cola,2020-06-09,44
Coca-Cola,2020-06-10,35
Coca-Cola,2020-06-11,49
Coca-Cola,2020-06-12,32
Coca-Cola,2020-06-13,5
Coca-Cola,2020-06-14,13
Coca-Cola,2020-06-15,51
Coca-Cola,2020-06-16,38
Coca-Cola,2020-06-17,32
Coca-Cola,2020-06-18,28
Coca-Cola,2020-06-19,20
Coca-Cola,2020-06-20,8
Coca-Cola,2020-06-21,7
Coca-Cola,2020-06-22,49
Coca-Cola,2020-06-23,37
Coca-Cola,2020-06-24,31
Coca-Cola,2020-06-25,41
Coca-Cola,2020-06-26,28
Coca-Cola,2020-06-27,50
Coca-Cola,2020-06-28,22
Coca-Cola,2020-06-29,36
Coca-Cola,2020-06-30,44
Coca-Cola,2020-07-01,41
Coca-Cola,2020-07-02,36
Coca-Cola,2020-07-03,13
Coca-Cola,2020-07-04,9
Coca-Cola,2020-07-05,9
Coca-Cola,2020-07-06,36
Coca-Cola,2020-07-07,33
Coca-Cola,2020-07-08,34
Coca-Cola,2020-07-09,33
Coca-Cola,2020-07-10,48
Coca-Cola,2020-07-11,14
Coca-Cola,2020-07-12,12
Coca-Cola,2020-07-13,46
Coca-Cola,2020-07-14,28
Coca-Cola,2020-07-15,49
Coca-Cola,2020-07-16,27
Coca-Cola,2020-07-17,48
Coca-Cola,2020-07-18,19
Coca-Cola,2020-07-19,19
Coca-Cola,2020-07-20,59
Coca-Cola,2020-07-21,247
Coca-Cola,2020-07-22,101
Coca-Cola,2020-07-23,31
Coca-Cola,2020-07-24,29
Coca-Cola,2020-07-25,9
Coca-Cola,2020-07-26,6
Coca-Cola,2020-07-27,27
Coca-Cola,2020-07-28,27
Coca-Cola,2020-07-29,19
Coca-Cola,2020-07-30,126
Coca-Cola,2020-07-31,48
Coca-Cola,2020-08-01,16
Coca-Cola,2020-08-02,9
Coca-Cola,2020-08-03,48
Coca-Cola,2020-08-04,32
Coca-Cola,2020-08-05,30
Coca-Cola,2020-08-06,23
Coca-Cola,2020-08-07,28
Coca-Cola,2020-08-08,16
Coca-Cola,2020-08-09,10
Coca-Cola,2020-08-10,21
Coca-Cola,2020-08-11,26
Coca-Cola,2020-08-12,24
Coca-Cola,2020-08-13,16
Coca-Cola,2020-08-14,23
Coca-Cola,2020-08-15,6
Coca-Cola,2020-08-16,8
Coca-Cola,2020-08-17,14
Coca-Cola,2020-08-18,36
Coca-Cola,2020-08-19,50
Coca-Cola,2020-08-20,33
Coca-Cola,2020-08-21,24
Coca-Cola,2020-08-22,8
Coca-Cola,2020-08-23,13
Coca-Cola,2020-08-24,28
Coca-Cola,2020-08-25,30
Coca-Cola,2020-08-26,21
Coca-Cola,2020-08-27,34
Coca-Cola,2020-08-28,126
Coca-Cola,2020-08-29,20
Coca-Cola,2020-08-30,17
Coca-Cola,2020-08-31,41
Coca-Cola,2020-09-01,22
Coca-Cola,2020-09-02,88
Coca-Cola,2020-09-03,63
Coca-Cola,2020-09-04,42
Coca-Cola,2020-09-05,17
Coca-Cola,2020-09-06,12
Coca-Cola,2020-09-07,12
Coca-Cola,2020-09-08,25
Coca-Cola,2020-09-09,24
Coca-Cola,2020-09-10,20
Coca-Cola,2020-09-11,32
Coca-Cola,2020-09-12,9
Coca-Cola,2020-09-13,13
Coca-Cola,2020-09-14,46
Coca-Cola,2020-09-15,17
Coca-Cola,2020-09-16,30
Coca-Cola,2020-09-17,21
Coca-Cola,2020-09-18,30
Coca-Cola,2020-09-19,11
Coca-Cola,2020-09-20,9
Coca-Cola,2020-09-21,28
Coca-Cola,2020-09-22,40
Coca-Cola,2020-09-23,27
Coca-Cola,2020-09-24,33
Coca-Cola,2020-09-25,24
Coca-Cola,2020-09-26,8
Coca-Cola,2020-09-27,13
Coca-Cola,2020-09-28,19
Coca-Cola,2020-09-29,49
Coca-Cola,2020-09-30,28
Coca-Cola,2020-10-01,38
Coca-Cola,2020-10-02,18
Coca-Cola,2020-10-03,8
Coca-Cola,2020-10-04,7
Coca-Cola,2020-10-05,41
Coca-Cola,2020-10-06,19
Coca-Cola,2020-10-07,15
Coca-Cola,2020-10-08,24
Coca-Cola,2020-10-09,17
Coca-Cola,2020-10-10,10
Coca-Cola,2020-10-11,6
Coca-Cola,2020-10-12,25
Coca-Cola,2020-10-13,36
Coca-Cola,2020-10-14,30
Coca-Cola,2020-10-15,41
Coca-Cola,2020-10-16,28
Coca-Cola,2020-10-17,11
Coca-Cola,2020-10-18,14
Coca-Cola,2020-10-19,53
Coca-Cola,2020-10-20,53
Coca-Cola,2020-10-21,66
Coca-Cola,2020-10-22,234
Coca-Cola,2020-10-23,51
Coca-Cola,2020-10-24,17
Coca-Cola,2020-10-25,12
Coca-Cola,2020-10-26,34
Coca-Cola,2020-10-27,20
Coca-Cola,2020-10-28,23
Coca-Cola,2020-10-29,28
Coca-Cola,2020-10-30,21
Coca-Cola,2020-10-31,9
Coca-Cola,2020-11-01,14
Coca-Cola,2020-11-02,20
Coca-Cola,2020-11-03,10
Coca-Cola,2020-11-04,20
Coca-Cola,2020-11-05,15
Coca-Cola,2020-11-06,13
Coca-Cola,2020-11-07,5
Coca-Cola,2020-11-08,4
Coca-Cola,2020-11-09,32
Coca-Cola,2020-11-10,31
Coca-Cola,2020-11-11,30
Coca-Cola,2020-11-12,17
Coca-Cola,2020-11-13,21
Coca-Cola,2020-11-14,10
Coca-Cola,2020-11-15,9
Coca-Cola,2020-11-16,14
Coca-Cola,2020-11-17,11
Coca-Cola,2020-11-18,9
Coca-Cola,2020-11-19,26
Coca-Cola,2020-11-20,4
Coca-Cola,2020-11-21,8
Coca-Cola,2020-11-22,6
Coca-Cola,2020-11-23,19
Coca-Cola,2020-11-24,17
Coca-Cola,2020-11-25,11
Coca-Cola,2020-11-26,8
Coca-Cola,2020-11-27,12
Coca-Cola,2020-11-28,8
Coca-Cola,2020-11-29,8
Coca-Cola,2020-11-30,27
Coca-Cola,2020-12-01,18
Coca-Cola,2020-12-02,15
Coca-Cola,2020-12-03,15
Coca-Cola,2020-12-04,11
Coca-Cola,2020-12-05,9
Coca-Cola,2020-12-06,7
Coca-Cola,2020-12-07,15
Coca-Cola,2020-12-08,19
Coca-Cola,2020-12-09,10
Coca-Cola,2020-12-10,23
Coca-Cola,2020-12-11,14
Coca-Cola,2020-12-12,7
Coca-Cola,2020-12-13,7
Coca-Cola,2020-12-14,12
Coca-Cola,2020-12-15,14
Coca-Cola,2020-12-16,19
Coca-Cola,2020-12-17,21
Coca-Cola,2020-12-18,14
Coca-Cola,2020-12-19,15
Coca-Cola,2020-12-20,5
Coca-Cola,2020-12-21,12
Coca-Cola,2020-12-22,8
Coca-Cola,2020-12-23,11
Coca-Cola,2020-12-24,8
Coca-Cola,2020-12-25,2
Coca-Cola,2020-12-26,3
Coca-Cola,2020-12-27,4
Coca-Cola,2020-12-28,17
Coca-Cola,2020-12-29,13
Coca-Cola,2020-12-30,22
Coca-Cola,2020-12-31,14
Coca-Cola,2021-01-01,3
Coca-Cola,2021-01-02,9
Coca-Cola,2021-01-03,8
Coca-Cola,2021-01-04,42
Coca-Cola,2021-01-05,34
Coca-Cola,2021-01-06,143
Coca-Cola,2021-01-07,179
Coca-Cola,2021-01-08,78
Coca-Cola,2021-01-09,16
Coca-Cola,2021-01-10,13
Coca-Cola,2021-01-11,48
Coca-Cola,2021-01-12,47
Coca-Cola,2021-01-13,49
Coca-Cola,2021-01-14,123
Coca-Cola,2021-01-15,119
Coca-Cola,2021-01-16,32
Coca-Cola,2021-01-17,16
Coca-Cola,2021-01-18,13
Coca-Cola,2021-01-19,119
Coca-Cola,2021-01-20,180
Coca-Cola,2021-01-21,170
Coca-Cola,2021-01-22,136
Coca-Cola,2021-01-23,15
Coca-Cola,2021-01-24,23
Coca-Cola,2021-01-25,68
Coca-Cola,2021-01-26,76
Coca-Cola,2021-01-27,63
Coca-Cola,2021-01-28,64
Coca-Cola,2021-01-29,67
Coca-Cola,2021-01-30,15
Coca-Cola,2021-01-31,11
Coca-Cola,2021-02-01,60
Coca-Cola,2021-02-02,59
Coca-Cola,2021-02-03,134
Coca-Cola,2021-02-04,150
Coca-Cola,2021-02-05,264
Coca-Cola,2021-02-06,32
Coca-Cola,2021-02-07,19
Coca-Cola,2021-02-08,81
Coca-Cola,2021-02-09,98
Coca-Cola,2021-02-10,255
Coca-Cola,2021-02-11,80
Coca-Cola,2021-02-12,51
Coca-Cola,2021-02-13,12
Coca-Cola,2021-02-14,7
Coca-Cola,2021-02-15,9
Coca-Cola,2021-02-16,42
Coca-Cola,2021-02-17,31
Coca-Cola,2021-02-18,71
Coca-Cola,2021-02-19,55
Coca-Cola,2021-02-20,27
Coca-Cola,2021-02-21,46
Coca-Cola,2021-02-22,145
Coca-Cola,2021-02-23,177
Coca-Cola,2021-02-24,79
Coca-Cola,2021-02-25,67
Coca-Cola,2021-02-26,82
Coca-Cola,2021-02-27,29
Coca-Cola,2021-02-28,43
Coca-Cola,2021-03-01,96
HM,2018-03-02,1
HM,2018-03-27,2
HM,2018-05-25,1
HM,2018-05-28,1
HM,2018-06-01,2
HM,2018-06-28,1
HM,2018-07-17,1
HM,2018-08-23,1
HM,2018-09-18,1
HM,2018-09-27,1
HM,2018-10-06,1
HM,2018-12-06,1
HM,2018-12-12,1
HM,2018-12-31,1
HM,2019-01-09,2
HM,2019-01-30,1
HM,2019-01-31,1
HM,2019-02-04,1
HM,2019-02-13,1
HM,2019-02-17,1
HM,2019-03-06,1
HM,2019-03-28,1
HM,2019-03-29,1
HM,2019-05-08,1
HM,2019-05-22,1
HM,2019-06-03,1
HM,2019-06-26,1
HM,2019-06-27,1
HM,2019-07-08,1
HM,2019-07-11,1
HM,2019-07-24,1
HM,2019-08-16,1
HM,2019-08-22,1
HM,2019-08-27,1
HM,2019-08-28,2
HM,2019-09-06,1
HM,2019-09-12,1
HM,2019-09-28,1
HM,2019-09-30,2
HM,2019-10-03,6
HM,2019-10-11,1
HM,2019-10-13,1
HM,2019-10-15,2
HM,2019-10-25,1
HM,2019-11-07,1
HM,2019-11-16,1
HM,2019-11-25,1
HM,2019-11-27,2
HM,2019-12-06,2
HM,2019-12-16,2
HM,2019-12-26,1
HM,2019-12-31,1
HM,2020-01-08,1
HM,2020-01-10,1
HM,2020-01-30,1
HM,2020-02-09,1
HM,2020-02-14,1
HM,2020-02-27,1
HM,2020-03-04,1
HM,2020-03-06,1
HM,2020-03-17,1
HM,2020-03-19,1
HM,2020-03-23,3
HM,2020-03-27,2
HM,2020-03-30,1
HM,2020-04-01,1
HM,2020-04-02,1
HM,2020-04-03,9
HM,2020-04-08,2
HM,2020-04-15,2
HM,2020-04-17,1
HM,2020-04-25,1
HM,2020-04-28,2
HM,2020-05-03,1
HM,2020-05-07,2
HM,2020-05-11,1
HM,2020-05-12,3
HM,2020-05-27,2
HM,2020-06-02,1
HM,2020-06-15,5
HM,2020-06-24,1
HM,2020-06-26,6
HM,2020-06-29,1
HM,2020-06-30,1
HM,2020-07-01,1
HM,2020-07-11,1
HM,2020-08-06,1
HM,2020-09-03,1
HM,2020-09-07,1
HM,2020-09-10,1
HM,2020-09-13,1
HM,2020-09-14,1
HM,2020-09-15,3
HM,2020-09-16,3
HM,2020-09-17,1
HM,2020-09-30,1
HM,2020-10-01,9
HM,2020-10-05,1
HM,2020-10-08,1
HM,2020-10-13,1
HM,2020-10-16,1
HM,2020-10-29,1
HM,2020-11-02,1
HM,2020-12-09,1
HM,2021-01-01,1
HM,2021-01-13,1
HM,2021-01-26,1
HM,2021-01-27,4
HM,2021-01-28,1
HM,2021-01-29,2
HM,2021-02-03,1
HM,2021-02-04,1
HM,2021-02-17,1
HM,2021-02-22,1
HM,2021-02-23,1
HM,2021-03-10,1
HM,2021-03-15,3
HM,2021-03-16,1
HM,2021-03-18,1
HM,2021-03-19,5
HM,2021-03-24,2
HM,2021-03-25,10
HM,2021-03-26,9
HM,2021-03-27,1
HM,2021-03-29,1
HM,2021-03-30,1
HM,2021-03-31,8
HM,2021-04-01,1
HM,2021-04-02,3
HM,2021-04-06,1
HM,2021-04-08,1
Nike,2020-04-09,19
Nike,2020-04-10,13
Nike,2020-04-11,9
Nike,2020-04-12,9
Nike,2020-04-13,21
Nike,2020-04-14,31
Nike,2020-04-15,33
Nike,2020-04-16,29
Nike,2020-04-17,28
Nike,2020-04-18,6
Nike,2020-04-19,9
Nike,2020-04-20,18
Nike,2020-04-21,18
Nike,2020-04-22,18
Nike,2020-04-23,10
Nike,2020-04-24,16
Nike,2020-04-25,7
Nike,2020-04-26,1
Nike,2020-04-27,12
Nike,2020-04-28,12
Nike,2020-04-29,22
Nike,2020-04-30,13
Nike,2020-05-01,22
Nike,2020-05-02,5
Nike,2020-05-03,13
Nike,2020-05-04,6
Nike,2020-05-05,18
Nike,2020-05-06,12
Nike,2020-05-07,18
Nike,2020-05-08,17
Nike,2020-05-09,8
Nike,2020-05-10,7
Nike,2020-05-11,15
Nike,2020-05-12,27
Nike,2020-05-13,18
Nike,2020-05-14,50
Nike,2020-05-15,36
Nike,2020-05-16,9
Nike,2020-05-17,7
Nike,2020-05-18,26
Nike,2020-05-19,25
Nike,2020-05-20,24
Nike,2020-05-21,26
Nike,2020-05-22,16
Nike,2020-05-23,5
Nike,2020-05-24,6
Nike,2020-05-25,8
Nike,2020-05-26,26
Nike,2020-05-27,47
Nike,2020-05-28,42
Nike,2020-05-29,28
Nike,2020-05-30,19
Nike,2020-05-31,26
Nike,2020-06-01,68
Nike,2020-06-02,36
Nike,2020-06-03,36
Nike,2020-06-04,45
Nike,2020-06-05,20
Nike,2020-06-06,8
Nike,2020-06-07,10
Nike,2020-06-08,15
Nike,2020-06-09,19
Nike,2020-06-10,21
Nike,2020-06-11,25
Nike,2020-06-12,28
Nike,2020-06-13,9
Nike,2020-06-14,4
Nike,2020-06-15,27
